Country,Province,Confirmed,Deaths,Cast_Fatality_Ratio
US,New Mexico,50146,837,1.6691261516372193
US,New Mexico,7366,75,1.018191691555797
US,New Mexico,43176,488,1.1302575504910135
US,New Mexico,38801,367,0.9458519110332207
US,New Mexico,2395,85,3.549060542797495
US,New Mexico,4547,96,2.1112821640642183
US,New Mexico,7078,101,1.4269567674484318
US,New Mexico,3192,59,1.8483709273182958
US,New Mexico,7098,0,0.0
US,New Mexico,920,20,2.1739130434782608
US,New Mexico,23121,307,1.3277972406037801
US,New York,75485,582,0.7710141087633304
US,New York,10401,163,1.5671570041342178
US,New York,507875,8216,1.6177208958897367
US,New York,56262,577,1.0255589918595145
US,New York,18652,242,1.2974479948530988
US,New York,19643,170,0.8654482512854452
US,New York,28398,328,1.1550109162617086
US,New York,25764,252,0.9781089892873778
US,New York,11392,133,1.1674859550561798
US,New York,21505,119,0.5533596837944664
US,New York,13114,160,1.220070154033857
US,New York,12839,131,1.0203286860347378
US,New York,9692,86,0.8873297565002064
US,New York,79919,711,0.8896507714060486
US,New York,259147,2808,1.0835548935546235
US,New York,7339,71,0.9674342553481401
US,New York,11664,52,0.4458161865569273
US,New York,15942,182,1.1416384393426169
US,New York,16044,203,1.2652705061082024
US,New York,10419,143,1.3724925616661867
US,New York,1054,5,0.47438330170777987
US,New York,16861,209,1.2395468833402528
US,New York,25662,150,0.5845218611176058
US,New York,891568,13642,1.5301132386985625
US,New York,7072,53,0.7494343891402715
US,New York,13880,129,0.9293948126801153
US,New York,16243,142,0.8742227421042911
US,New York,184418,1774,0.9619451463523083
US,New York,14494,225,1.5523664964813026
US,New York,516010,4118,0.798046549485475
US,New York,554426,5883,1.0610974232810149
US,New York,57598,623,1.0816347789853815
US,New York,66483,847,1.2740098972669704
US,New York,137776,1150,0.8346881895250261
US,New York,25011,205,0.8196393586821799
US,New York,140216,1244,0.8872026017002339
US,New York,10150,124,1.2216748768472907
US,New York,33244,220,0.661773553122368
US,New York,12733,100,0.7853608733212911
US,New York,0,532,
US,New York,29724,138,0.4642712959224869
US,New York,832616,12864,1.5450099445602774
US,New York,40146,300,0.7472724555372889
US,New York,210742,2551,1.21048485826271
US,New York,112260,943,0.8400142526278283
US,New York,59049,383,0.6486138630628799
US,New York,41905,346,0.8256771268345067
US,New York,6317,41,0.6490422668988444
US,New York,4211,32,0.759914509617668
US,New York,7338,94,1.2810029980921231
US,New York,25518,214,0.8386237165922095
US,New York,24414,265,1.0854427787335135
US,New York,533070,4703,0.8822481100043146
US,New York,23223,144,0.6200749257201912
US,New York,13525,91,0.6728280961182994
US,New York,25515,97,0.38016852831667647
US,New York,40770,394,0.9663968604365956
US,New York,932,2,0.2145922746781116
US,New York,18021,144,0.7990677542866655
US,New York,15055,129,0.8568581866489539
US,New York,21015,201,0.9564596716630978
US,New York,315858,2876,0.9105357470762178
US,New York,9684,90,0.929368029739777
US,New York,4286,41,0.9566028931404573
US,North Carolina,57797,542,0.9377649358963268
US,North Carolina,12187,153,1.2554361204562239
US,North Carolina,3502,18,0.5139920045688178
US,North Carolina,7951,108,1.3583197082128033
US,North Carolina,7263,91,1.2529257882417735
US,North Carolina,5353,48,0.8966934429291986
US,North Carolina,15378,182,1.1835089088307973
US,North Carolina,5134,76,1.4803272302298403
US,North Carolina,11186,144,1.2873234400143037
US,North Carolina,38452,367,0.9544367003016748
US,North Carolina,66841,663,0.9919061653775377
US,North Carolina,30228,354,1.1710996427153633
US,North Carolina,67994,542,0.7971291584551579
US,North Carolina,28079,341,1.2144307133444923
US,North Carolina,2094,10,0.4775549188156638
US,North Carolina,17570,150,0.8537279453614115
US,North Carolina,6303,55,0.8726003490401396
US,North Carolina,57402,656,1.1428173234382077
US,North Carolina,16818,128,0.7610893090736116
US,North Carolina,8329,136,1.6328490815223917
US,North Carolina,4849,65,1.3404825737265416
US,North Carolina,3188,50,1.5683814303638646
US,North Carolina,34909,436,1.2489615858374632
